timestamp,scope,event,count,latency_avg_us,latency_max_us,latency_p50_us,latency_p95_us,latency_p99_us,total_latency_us,bytes_total,error_count,error_rate
1768820058,node,fdatasync,9,448.44,1127,378,1127,1127,4036,0,0,0.0000
1768820058,node,sendto,2,61.50,62,62,62,62,123,40,0,0.0000
1768820058,node,recvmsg,6,53.67,61,53,61,61,322,48604,0,0.0000
1768820059,node,sched_lat,12426,9.36,5413,6,16,35,116349,0,0,0.0000
1768820059,node,softirq,3801,5.58,224,2,19,49,21217,15900,0,0.0000
1768820059,node,io_qdepth,63,0.00,0,0,0,0,0,822,0,0.0000
1768820059,node,block_io,60,405.72,739,458,709,739,24343,524288,0,0.0000
1768820059,node,connect,3,86.33,126,69,126,126,259,0,3,1.0000
1768820059,node,futex,120,78755.31,1000103,149,999430,1000078,9450637,0,21,0.1750
1768820059,node,dstate_io,79,77.41,978,28,322,978,6115,0,0,0.0000
1768820059,node,epoll_pwait,887,5776.25,1000037,0,9081,198233,5123535,0,0,0.0000
1768820059,node,epoll_wait,129,70209.96,997817,100078,100167,981430,9057085,0,0,0.0000
1768820059,node,runqlen,64,0.00,0,0,0,0,0,171206,0,0.0000
1768820059,node,poll,12237,1570.84,4000366,0,1,22,19222425,0,0,0.0000
1768820059,node,select,2,1001034.00,1001034,1001034,1001034,1001034,2002068,0,0,0.0000
1768820059,node,read,9,449.22,1235,197,1235,1235,4043,486,0,0.0000
1768820059,node,nanosleep,83,120817.05,4000084,88,1000080,4000084,10027815,0,0,0.0000
1768820059,node,write,1,101.00,101,101,101,101,101,52,0,0.0000
1768820059,node,fdatasync,6,454.17,966,448,966,966,2725,0,0,0.0000
1768820059,node,pselect6,1,1001031.00,1001031,1001031,1001031,1001031,1001031,0,0,0.0000
1768820059,node,fsync,1,1230.00,1230,1230,1230,1230,1230,0,0,0.0000
1768820059,node,sendto,2,74.00,79,79,79,79,148,40,0,0.0000
1768820059,node,sendmsg,2,63.50,66,66,66,66,127,646,0,0.0000
1768820059,node,recvmsg,2,56.00,56,56,56,56,112,130616,0,0.0000
